draw,terminal_wealth_ideal,terminal_wealth_constrained
452,1049.287132565309,6241.828396330998
453,4482.362824304762,4159.919488759798
454,158959.2801124502,80464.78342836736
455,94075.71838938895,28195.64295487415
456,79295.41754634737,51478.80019687146
457,1144339.803507172,334297.6442488063
458,282829.98834003083,142457.63289693175
459,1257.4401258466721,2127.3643829846774
460,329392.13700001943,183347.46715093157
461,3142.01905626675,6892.629403660032
462,2113.1461024826312,8259.638283109745
463,2385.8069978747644,4080.0428422873133
464,1696.305708231623,2169.074909866732
465,826066.8757573006,238614.18154558694
466,877524.5677606335,335660.6330952259
467,7305.492407319181,5493.07656157727
468,1281.7505776570342,3763.4704422309915
469,3556.4371652655177,4363.815125278769
470,261061.4855377352,141311.39395742744
471,31060.905337298333,27895.62068892478
472,263547.83163354377,69391.7496070106
473,1043692.5001012923,328430.5519601586
474,63582.12333220585,157117.16564237143
475,420485.6956524043,623917.6763118332
476,840836.2004019282,172137.78735565324
477,85863.44047993733,99291.87107076969
478,22331.895902178258,41939.55707006897
479,17645.4171535604,52291.5972357594
480,51320.82788504535,114045.66354216037
481,358606.44201881095,150248.77074571207
482,285550.5734074997,136320.40842313634
483,202120.09510190092,116271.81345328277
484,1349635.9990292822,1126399.148913336
485,12863.474303814788,10913.082606684962
486,8158.068109748148,15108.93610858279
487,17977.398804979457,8680.187137924855
488,278595.8077782885,138814.164811107
489,41726.63873548386,21630.91404794582
490,183863.7148953951,359286.9560077978
491,185.94061697606148,1269.230590485905
492,128177.11173064179,228798.68059781255
493,56445.779373601756,124599.63115579517
494,109906.49933937694,17047.191034730768
495,34217.63610809453,38204.399495351965
496,43919.134632652764,42531.81613949129
497,843.2392683607492,2198.93573976474
498,250646.16983983558,144425.11057314483
499,39367.83196817383,57738.938391932206
500,109138.29761181443,66542.13719286263
501,28534.127488934446,16801.996346737866
502,52897.65235939748,15541.835925184721
503,198065.7293674661,43639.614606331816
504,22123.99034175816,78620.95531762425
505,2893668.9033372137,240373.2022227536
506,1103852.3275155914,152069.59357765524
507,9948.528400966932,5586.445748613655
508,62754.98539006153,39516.74929385118
509,30102.548319583104,36549.13572092253
510,1298.6389148028015,5179.828606343941
511,47529.73035939728,132085.91146147245
512,6329.234172825711,8541.597502270124
513,1642.5912073799734,1454.1516038176965
514,21721.386014873566,15304.274752327456
515,512329.68521164334,116180.02927639018
516,12145.943122625267,27485.824991484806
517,110818.8590814344,83235.86086984292
518,31853.700771265263,115211.78836333525
519,26395.0280237895,39188.75337297133
520,29317.576089159367,54410.887377945255
521,4321.285930520219,10058.141675937184
522,1347193.0308164267,524575.9579497072
523,75117.38001447693,37961.4648590047
524,61843.84572017243,7439.03925934898
525,440283.2655519747,364064.5715139314
526,891973.8333663923,272446.7335894592
527,41824.6702548803,198429.97297287532
528,31218.48252790454,33712.54211594796
529,31101.92701458843,59093.35795058235
530,133526.3868729179,42550.75333647166
531,1229586.795302025,490172.1465856041
532,25839.00502173402,25922.33381601571
533,73774.52216056659,37207.075174553145
534,58838.46597222704,134393.63226525925
535,45649.35983959174,86342.6380237685
536,20823.82808634207,8203.496824764823
537,219911.50286521504,240771.1838194797
538,1382294.3165002123,584464.9825331643
539,134203.35828836568,64601.61265311815
540,83528.67710807695,38554.87326977066
541,132128.23943958426,232486.07799680022
542,31251.763062694463,7181.609976855851
543,14568.166207759003,27161.55326215038
544,74707.83616657021,47115.011241208704
545,8511.16058699441,6070.222208076461
546,233.3767427010682,746.3645966095435
547,64738.94200400525,39036.978981542576
548,49091.5129325906,31645.56688013352
549,21491.76678708215,16802.45492933599
550,288248.5576822397,206333.5503874997
551,78453.24539255985,880245.0050196574
552,27112.487008772026,23838.419152216455
553,6968.875569131651,5567.589060772882
554,15688.032085674118,15757.235952868123
555,41585.35819714812,65335.61777702923
556,176326.42070845678,52298.58480489622
557,4478782.296244862,805152.4829351158
558,1061226.4424934986,465504.99987854745
559,14170.261460077867,26376.47348573507
560,900645.3657102757,354658.3814161205
561,37465.66201670415,20754.909558983058
562,15800.815971666594,20130.156730077626
563,6991.544739012573,10628.717261375497
564,13190.421257634014,18437.277432886618
565,48107.1180458185,16955.753398165183
566,10432.104546290142,21089.084411188654
567,128319.53910289273,46565.866618977874
568,68664.07687796996,98211.01291814398
569,2040.9791886700727,8464.903593667626
