feature,coefficient,abs_coef,block
away_p7_consec_dnps_pre,-0.10521750688395888,0.10521750688395888,player
away_p4_consec_dnps_pre,-0.10318059433075222,0.10318059433075222,player
away_p5_days_since_last_dnp_pre,-0.09819741717382653,0.09819741717382653,player
home_p5_consec_dnps_pre,-0.09787867489920837,0.09787867489920837,player
away_timezone_shift_hours_pre,0.09700910417621185,0.09700910417621185,schedule
home_p6_played_last_game_pre,0.09607580391494493,0.09607580391494493,player
away_p4_q_pre,-0.09400792249092484,0.09400792249092484,player
home_p7_injury_present_flag_pre,0.09304477613139486,0.09304477613139486,player
away_p7_played_last_game_pre,0.09023297185727196,0.09023297185727196,player
home_p5_played_last_game_pre,0.08925626879515174,0.08925626879515174,player
home_p3_played_last_game_pre,-0.0888554082185789,0.0888554082185789,player
home_timezone_shift_hours_pre,-0.0885781208716822,0.0885781208716822,schedule
away_off_2pa_rate_pre,0.08304877619989678,0.08304877619989678,style
away_def_2pa_allowed_pre,0.0796931451389805,0.0796931451389805,style
home_p3_days_since_last_played_pre,-0.075939771831901,0.075939771831901,player
home_p1_days_since_last_dnp_pre,0.07501419428981412,0.07501419428981412,player
home_p6_days_since_last_dnp_pre,-0.07386339146537242,0.07386339146537242,player
away_days_rest_pre,-0.0710775779159135,0.0710775779159135,schedule
away_p2_days_since_last_dnp_pre,0.07057200749712751,0.07057200749712751,player
away_off_3pa_rate_pre,-0.06898509067774353,0.06898509067774353,style
home_p4_consec_dnps_pre,-0.06594092818088942,0.06594092818088942,player
away_p1_played_last_game_pre,0.06588490108691378,0.06588490108691378,player
away_def_3pa_allowed_pre,-0.0656294596165906,0.0656294596165906,style
home_p6_q_pre,-0.06473858826837163,0.06473858826837163,player
away_p1_injury_present_flag_pre,-0.06325220482699459,0.06325220482699459,player
away_p5_days_since_last_played_pre,0.06299322301057002,0.06299322301057002,player
home_p6_consec_dnps_pre,0.05351813038335755,0.05351813038335755,player
away_efg_ewma_pre,-0.053269282443314525,0.053269282443314525,form
home_p2_days_since_last_played_pre,-0.05212647260019737,0.05212647260019737,player
away_p3_days_since_last_played_pre,0.051771977081696514,0.051771977081696514,player
away_p7_q_pre,-0.050355958044897474,0.050355958044897474,player
away_p3_days_since_last_dnp_pre,0.049730471925156165,0.049730471925156165,player
home_p4_days_since_last_dnp_pre,-0.04911024465492075,0.04911024465492075,player
home_p1_consec_dnps_pre,0.04683974699828458,0.04683974699828458,player
